"situation","Date","pla","somupvtsem","laimax","laisen_n","hauteur","raint","trg_n","ilevs","iamfs","ilaxs","densite","demande","Plant","Dominance","algorithm"
"usm_1",2018-06-01,"mai",0,0,0,0,0,12,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-01,"mai",0,0,0,0,0,12,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-01,"sor",0,0,0,0,0,12,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-01,"sor",0,0,0,0,0,12,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-02,"mai",0,0,0,0,0,22.8,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-02,"mai",0,0,0,0,0,22.8,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-02,"sor",0,0,0,0,0,22.8,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-02,"sor",0,0,0,0,0,22.8,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-03,"mai",0,0,0,0,0,21.6,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-03,"mai",0,0,0,0,0,21.6,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-03,"sor",0,0,0,0,0,21.6,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-03,"sor",0,0,0,0,0,21.6,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-04,"mai",0,0,0,0,0,11.9,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-04,"mai",0,0,0,0,0,11.9,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-04,"sor",0,0,0,0,0,11.9,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-04,"sor",0,0,0,0,0,11.9,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-05,"mai",0,0,0,0,0,15.5,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-05,"mai",0,0,0,0,0,15.5,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-05,"sor",0,0,0,0,0,15.5,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-05,"sor",0,0,0,0,0,15.5,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-06,"mai",0,0,0,0,0,17.2,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-06,"mai",0,0,0,0,0,17.2,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-06,"sor",0,0,0,0,0,17.2,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-06,"sor",0,0,0,0,0,17.2,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-07,"mai",0,0,0,0,0,21,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-07,"mai",0,0,0,0,0,21,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-07,"sor",0,0,0,0,0,21,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-07,"sor",0,0,0,0,0,21,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-08,"mai",0,0,0,0,0,23,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-08,"mai",0,0,0,0,0,23,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-08,"sor",0,0,0,0,0,23,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-08,"sor",0,0,0,0,0,23,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-09,"mai",0,0,0,0,0,18,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-09,"mai",0,0,0,0,0,18,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-09,"sor",0,0,0,0,0,18,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-09,"sor",0,0,0,0,0,18,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-10,"mai",0,0,0,0,0,10.7,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-10,"mai",0,0,0,0,0,10.7,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-10,"sor",0,0,0,0,0,10.7,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-10,"sor",0,0,0,0,0,10.7,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-11,"mai",0,0,0,0,0,16.3,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-11,"mai",0,0,0,0,0,16.3,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-11,"sor",0,0,0,0,0,16.3,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-11,"sor",0,0,0,0,0,16.3,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-12,"mai",0,0,0,0,0,23.7,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-12,"mai",0,0,0,0,0,23.7,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-12,"sor",0,0,0,0,0,23.7,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-12,"sor",0,0,0,0,0,23.7,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-13,"mai",0,0,0,0,0,19.4,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-13,"mai",0,0,0,0,0,19.4,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-13,"sor",0,0,0,0,0,19.4,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-13,"sor",0,0,0,0,0,19.4,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-14,"mai",0,0,0,0,0,9.1,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-14,"mai",0,0,0,0,0,9.1,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-14,"sor",0,0,0,0,0,9.1,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-14,"sor",0,0,0,0,0,9.1,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-15,"mai",0,0,0,0,0,19.4,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-15,"mai",0,0,0,0,0,19.4,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-15,"sor",0,0,0,0,0,19.4,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-15,"sor",0,0,0,0,0,19.4,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-16,"mai",0,0,0,0,0,23.2,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-16,"mai",0,0,0,0,0,23.2,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-16,"sor",0,0,0,0,0,23.2,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-16,"sor",0,0,0,0,0,23.2,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-17,"mai",0,0,0,0,0,20.4,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-17,"mai",0,0,0,0,0,20.4,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-17,"sor",0,0,0,0,0,20.4,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-17,"sor",0,0,0,0,0,20.4,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-18,"mai",0,0,0,0,0,18.2,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-18,"mai",0,0,0,0,0,18.2,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-18,"sor",0,0,0,0,0,18.2,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-18,"sor",0,0,0,0,0,18.2,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-19,"mai",0,0,0,0,0,18.5,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-19,"mai",0,0,0,0,0,18.5,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-19,"sor",0,0,0,0,0,18.5,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-19,"sor",0,0,0,0,0,18.5,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-20,"mai",0,0,0,0,0,18.7,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-20,"mai",0,0,0,0,0,18.7,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-20,"sor",0,0,0,0,0,18.7,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-20,"sor",0,0,0,0,0,18.7,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-21,"mai",0,0,0,0,0,19,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-21,"mai",0,0,0,0,0,19,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-21,"sor",0,0,0,0,0,19,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-21,"sor",0,0,0,0,0,19,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-22,"mai",0,0,0,0,0,9.9,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-22,"mai",0,0,0,0,0,9.9,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-22,"sor",0,0,0,0,0,9.9,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-22,"sor",0,0,0,0,0,9.9,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-23,"mai",0,0,0,0,0,16.3,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-23,"mai",0,0,0,0,0,16.3,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-23,"sor",0,0,0,0,0,16.3,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-23,"sor",0,0,0,0,0,16.3,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-24,"mai",0,0,0,0,0,12.7,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-24,"mai",0,0,0,0,0,12.7,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-24,"sor",0,0,0,0,0,12.7,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-24,"sor",0,0,0,0,0,12.7,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-25,"mai",0,0,0,0,0,21.3,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-25,"mai",0,0,0,0,0,21.3,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-25,"sor",0,0,0,0,0,21.3,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-25,"sor",0,0,0,0,0,21.3,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-26,"mai",0,0,0,0,0,22.8,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-26,"mai",0,0,0,0,0,22.8,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-26,"sor",0,0,0,0,0,22.8,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-26,"sor",0,0,0,0,0,22.8,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-27,"mai",22.25983,0,0,0,0,8.7,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-27,"mai",22.25983,0,0,0,0,8.7,181,210,237,3.125,0,"maize","Associated","Beer"
